station_id,lat,lon,rmse,r2,mae,MAPE Max,MAPE Snow Duration,RMSE Daily,MAE Daily,MAPE Daily,NSE Daily,Correlation Coefficient R,Bias Daily,PBIAS Daily,obs_elevation,wrf_elevation,elevation_diff,elevation_abs_diff
BCE-1D19P,49.660831451416016,-121.66083526611328,340.9542007837452,0.699648743603636,235.6688491144956,14.11451800861277,inf,358.54220613289385,250.01987534414965,43.50952132891296,0.6608193567048273,0.8436030684405582,-134.54110786748535,14.708159745854196,1180.0,1262.757080078125,82.757080078125,82.757080078125
ALE-05CA805P,51.54055404663086,-116.05638885498048,80.61999295306377,0.505871731509554,66.42795717436896,23.85021394253759,28.902998916904814,78.79531236493958,64.23674217747966,41.73904329302033,0.5587753623956531,0.9193752978278666,46.82904811199705,-23.222976045888714,2120.0,2294.0478515625,174.0478515625,174.0478515625
BCE-1A03P,53.05733871459961,-121.49182891845705,126.48332300690922,-0.0254844612650941,102.9122134511218,20.97197606048255,26.42655230859636,125.41122302416024,101.78705926418904,55.75792677879184,0.0079272655907893,0.7096831232787575,34.99183743521376,-16.263649789609133,1470.0,1412.602783203125,-57.397216796875,57.397216796875
BCE-1F03P,50.44961166381836,-118.61856079101562,379.4684409362947,-0.5054476513223725,249.40565075480703,29.57108707474524,17.450870392579912,376.3462848526228,246.19561747557617,43.75761913356202,-0.4508037018002515,0.4813806907842717,-232.06736973510945,42.486809015948666,1890.0,1707.4744873046875,-182.5255126953125,182.5255126953125
BCE-1F06P,51.40666580200195,-118.99972534179688,237.54690570695476,0.4851329581072855,170.19947358461707,7.32930167279642,16.44179284176566,234.1394262230933,166.55994480912034,37.37405931845702,0.5184518557036359,0.7877391938053472,-20.82375426242629,3.7674974405930977,1500.0,1565.835205078125,65.835205078125,65.835205078125
BCE-1B08P,53.15250015258789,-126.88111114501952,191.4393059727018,0.5390384974436593,141.94602553956403,24.826567649412315,16.71010910112704,185.71491296254533,136.12208487367897,44.15865941477794,0.588948593740398,0.8487082522625283,26.251312223716287,-6.148567671755211,1400.0,1241.564453125,-158.435546875,158.435546875
BCE-2D08P,50.63959884643555,-116.9297332763672,174.47553629126236,0.723984644758999,113.11628877683228,10.413054592175016,10.969906503388524,188.5174494467278,120.68325123906573,28.43516177078963,0.6757297292194246,0.8532254234087484,-65.0146527910675,11.712885032416096,2030.0,2149.15673828125,119.15673828125,119.15673828125
BCE-2C09Q,49.44722366333008,-114.9749984741211,284.9916959244666,-0.4650803657197206,195.741541593098,51.19443658677098,19.10040558052132,276.01533589171527,185.1054685331004,57.72960691357542,-0.3274712605748469,0.5113446237226345,-183.5084177848671,58.43150253652249,1860.0,1753.2838134765625,-106.7161865234375,106.7161865234375
BCE-1B01P,53.72861099243164,-126.42361450195312,116.76468949857836,0.7053625837975401,91.63584243282524,21.40939476021622,12.390558849396667,123.53645294821968,95.38790632281612,37.121023447069305,0.6698336222192021,0.8963157699522682,45.21726629653348,-12.365509374920048,1490.0,1558.737060546875,68.737060546875,68.737060546875
BCE-1C41P,52.832008361816406,-121.35563659667967,298.4107960158203,0.0797993195069615,195.6726203803196,29.44550470031284,9.768759114924904,304.0078119491402,201.36953124289164,39.0032758848631,0.0513573944198373,0.6913154649906511,-198.6303924267125,38.19112219059543,1670.0,1599.5985107421875,-70.4014892578125,70.4014892578125
BCE-1B02P,53.593055725097656,-127.64389038085938,190.45638142559164,0.8620274928144227,147.38540960970235,7.370060618115391,3.533592132760254,191.2414252163454,148.4077119586594,29.111785829330746,0.8607650304909882,0.9302479865450438,11.478963959840272,-1.382535884615829,1300.0,1190.565185546875,-109.434814453125,109.434814453125
ALE-05DB802P,51.89419555664063,-115.38346862792967,101.80536308191805,-1.0863949353775153,75.61820148508667,69.65074352742397,33.47253931136907,97.7131611938235,71.24696530725409,73.18623688732198,-0.9355761803976964,0.2591056087018509,-70.32867043267781,77.25925723402398,1970.0,1786.6783447265625,-183.3216552734375,183.3216552734375
BCE-3A24P,51.77616882324219,-124.6218032836914,168.91677946638828,-1.739264607020237,139.1685258998318,60.79793696452829,15.71088331715186,162.73412435409185,130.79535924851083,70.555793629533,-1.288723896497991,0.4345732353385947,-130.7465321350173,71.43300206999126,1650.0,1539.03466796875,-110.96533203125,110.96533203125
BCE-1E10P,52.20333480834961,-120.0169448852539,262.67195224719165,0.3010931256978747,148.6931557496165,15.460264533648912,17.19058895947195,266.0558151831666,151.69333832098883,36.61593789001903,0.29527176084049,0.6858748589960357,-104.06497395089066,21.141935166603083,1770.0,1652.7110595703125,-117.2889404296875,117.2889404296875
BCE-2F05P,49.944671630859375,-118.94969940185548,216.2619068532425,-0.3785716623952209,144.32376763931876,24.15046615927226,13.308429882407898,213.0055831767202,140.66392156241633,45.42550270550119,-0.2822599549287603,0.463123217409372,-105.9583948203681,34.68850187219758,1780.0,1732.833740234375,-47.166259765625,47.166259765625
ALE-05BB803P,51.08333206176758,-115.78333282470705,207.94526777861984,0.0315942763429966,131.5976978002369,28.62134051055964,29.995683296919463,203.78236022566583,127.61645011332328,40.60468320189592,0.0989660887887093,0.6683630315864665,-123.16935490080546,37.3529394130404,2230.0,2239.32177734375,9.32177734375,9.32177734375
BCE-1A17P,53.78422164916992,-120.3751983642578,218.3077504262533,0.6248645310183099,182.47841392082745,17.07044942997693,19.39579214746856,215.83357275363372,178.20704157132724,47.52422763445973,0.6470437540458439,0.8750485729342355,66.33907019365436,-12.028559973187988,1680.0,1777.596435546875,97.596435546875,97.596435546875
BCE-1C12P,50.795631408691406,-122.92454528808594,273.1691530394769,0.0232460181068042,185.8076551522933,29.84259482885056,17.124278811923986,272.33255553479603,184.981695464427,40.66099299721733,0.0262587318410506,0.6884630997394902,-183.6403011671714,40.5050878587291,1780.0,1720.751708984375,-59.248291015625,59.248291015625
BCE-2B06P,50.06855392456055,-118.3511199951172,259.90293204631683,-0.7061478598206443,185.7302780825145,47.61055273188674,14.738694117530446,258.3045539671111,184.31357008365225,50.69793169570404,-0.7007763993528808,0.4320593056899747,-183.38013573569572,55.61484052349559,1620.0,1654.418701171875,34.418701171875,34.418701171875
BCE-2E07P,49.55197143554688,-118.67729949951172,224.67061167118612,-0.249773575901921,139.29678051813042,32.679727993472305,inf,226.7993668249592,142.67463884271433,50.512616161749925,-0.2634659232588638,0.4440678802334652,-124.20917123275532,42.781699253931535,1870.0,1817.702392578125,-52.297607421875,52.297607421875
BCE-2C14P,51.05991744995117,-116.13711547851562,256.27972343543735,0.0877560855441612,190.4148548326484,35.45895844054728,11.574796746558444,256.1986997650501,190.27790174165463,41.54055258534127,0.0918759350188879,0.7710329521995546,-189.83736837791156,41.27436391517325,2090.0,2249.86279296875,159.86279296875,159.86279296875
BCE-4B16P,55.86165237426758,-127.69841766357422,304.64737368015545,0.0272638598837278,270.0519207121435,43.60690921772486,11.207520892594475,297.3281166256412,260.91507909118803,93.15258610134438,0.0903169181283782,0.9263857708090032,246.1181464051216,-52.634250629452886,1480.0,1452.78466796875,-27.21533203125,27.21533203125
BCE-1E08P,52.59591674804688,-119.72269439697266,116.39774576671049,0.9156165489513644,84.00731443546667,10.86425894918038,inf,121.54437472715075,88.32024056444342,22.69718799210862,0.911181205080874,0.9553167673256824,-12.59565879169655,1.8564560382314528,1640.0,1775.584228515625,135.584228515625,135.584228515625
